case,reference_case,comparison_set,case_is_eligible_reference,eligible_reference_count,angle_group,signed_mean_db,rms_db,max_abs_db,max_abs_freq_hz,max_abs_angle_deg
profile-ring-compact,modal-compact3,source_cv_recommended_juan_only,False,6,70_90,-5.248881581382072,11.510788097179706,22.300983216273664,734.4321259827932,90.0
profile-ring-compact,modal-compact3,source_cv_recommended_juan_only,False,6,80_90,-8.669629739837127,14.00328076678399,22.300983216273664,734.4321259827932,90.0
profile-ring-compact,modal-compact3,source_cv_recommended_juan_only,False,6,90,-19.39139784188954,19.558000656094407,22.300983216273664,734.4321259827932,90.0
profile-ring-compact,modal-full4-svd,source_cv_recommended_juan_only,False,6,0_60,-0.44434315197542384,1.307240795205529,6.301090447472092,1100.4048518456054,60.0
profile-ring-compact,modal-full4-svd,source_cv_recommended_juan_only,False,6,70_90,-3.376273030161102,5.9707961160245695,15.269492423897468,300.0,90.0
profile-ring-compact,modal-full4-svd,source_cv_recommended_juan_only,False,6,80_90,-4.555098210812066,7.050391093933068,15.269492423897468,300.0,90.0
profile-ring-compact,modal-full4-svd,source_cv_recommended_juan_only,False,6,90,-8.563869506188635,9.53460415305189,15.269492423897468,300.0,90.0
profile-ring-compact,profile-ring-full-svd,source_cv_recommended_juan_only,False,6,0_60,-0.005778705924007094,0.031229820755450947,0.13358406412872625,980.3492719446599,60.0
profile-ring-compact,profile-ring-full-svd,source_cv_recommended_juan_only,False,6,70_90,0.015207874702334303,0.189841076545015,0.6365959854442025,300.0,90.0
profile-ring-compact,profile-ring-full-svd,source_cv_recommended_juan_only,False,6,80_90,0.030279526428936058,0.2281867717081006,0.6365959854442025,300.0,90.0
profile-ring-compact,profile-ring-full-svd,source_cv_recommended_juan_only,False,6,90,0.08219061347373498,0.3155962200505985,0.6365959854442025,300.0,90.0
profile-ring-compact,profile-ring-full,source_cv_recommended_juan_only,False,6,0_60,-0.005897509237613712,0.030550783620596635,0.13919931973453004,980.3492719446599,60.0
profile-ring-compact,profile-ring-full,source_cv_recommended_juan_only,False,6,70_90,0.013828341481460534,0.1870199035277391,0.6271327446617292,300.0,90.0
profile-ring-compact,profile-ring-full,source_cv_recommended_juan_only,False,6,80_90,0.02895247680429069,0.22468343249167094,0.6271327446617292,300.0,90.0
profile-ring-compact,profile-ring-full,source_cv_recommended_juan_only,False,6,90,0.0818457146594005,0.31029005016221844,0.6271327446617292,300.0,90.0
profile-ring-compact-svd,modal-compact2,source_cv_recommended_juan_only,False,6,0_60,0.5692243257520008,1.0763072173398958,3.929634558916163,824.3721884748535,60.0
profile-ring-compact-svd,modal-compact2,source_cv_recommended_juan_only,False,6,70_90,-5.8495882699562065,13.204101914209229,26.67957137857593,734.4321259827932,90.0
